Column,Solvent_A,Solvent_B,compPerc_Min,compPerc_Max,temp_Min,temp_Max,Compound,lnkw_intercept,lnkw_slope,S_intercept,S_slope
Agilent SB-C18,Water,Methanol,0,100,10,150,methylbenzoate,13.82002004,-0.027372586,14.76275706,-0.024727422
Agilent SB-C18,Water,Methanol,0,100,10,150,anisole,13.10323316,-0.026162704,13.23530032,-0.022293188
Agilent SB-C18,Water,Methanol,0,100,10,150,benzene,12.79279455,-0.025133622,12.89520868,-0.021890024
Agilent SB-C18,Water,Methanol,0,100,10,150,p-nitrotoluene,14.78352971,-0.029673985,15.03158476,-0.025339654
Agilent SB-C18,Water,Methanol,0,100,10,150,p-nitrobenzylchloride,16.36497081,-0.0340879,17.11625186,-0.030611884
Agilent SB-C18,Water,Methanol,0,100,10,150,toluene,15.67880354,-0.030163538,15.06006072,-0.025233838
Agilent SB-C18,Water,Methanol,0,100,10,150,benzophenone,18.60152294,-0.03594301,19.63472281,-0.033341266
Agilent SB-C18,Water,Methanol,0,100,10,150,bromobenzene,17.7125163,-0.035008064,17.70340522,-0.031615758
Agilent SB-C18,Water,Methanol,0,100,10,150,naphthalene,20.30788956,-0.040659427,20.02083287,-0.036503631
Agilent SB-C18,Water,Methanol,0,100,10,150,ethylbenzene,19.09416943,-0.036900482,18.50962957,-0.032252615
Agilent SB-C18,Water,Methanol,0,100,10,150,p-xylene,18.60112905,-0.035232525,17.15440901,-0.028311195
Agilent SB-C18,Water,Methanol,0,100,10,150,p-dichlorobenzene,19.82780565,-0.038510356,19.46621767,-0.034304037
Agilent SB-C18,Water,Methanol,0,100,10,150,propylbenzene,21.66724134,-0.040779941,20.28349365,-0.033992127
Agilent SB-C18,Water,Methanol,0,100,10,150,n-butylbenzene,24.29235972,-0.045139192,22.21729734,-0.036714258
